sentences	labels
Der Sendestart von Nick nach acht war am 1. Januar 2008 um 20:15 Uhr, jedoch war die Ankündigung des Programmfensters schon zuvor im laufenden Nick-Programm und auch im laufenden Programm des Musiksenders VIVA zu sehen, der seit 2004 auch zu den MTV Networks Germany gehört.	<arg1> Nick nach acht </arg1> <rel> Sendestart </rel> <arg2> 1. Januar 2008 um 20:15 Uhr </arg2>
Bei der ersten Veröffentlichung am 7. März 1983 erreichte es Platz 12 und bekam noch im selben Jahr einen Re-Entry (Neuplatzierung) auf Platz 9 der UK-Charts, was daran lag, dass weder Blue Monday noch die B-Seite The Beach (eine Instrumentalversion von Blue Monday) auf dem Folgealbum Power, Corruption & Lies erschienen.	<arg1> Blue Monday </arg1> <rel> Veröffentlichung </rel> <arg2> 7. März 1983 </arg2>
Zur Gemeinde Florina zählen vier Gemeindebezirke mit insgesamt 45 Ortschaften, darunter auch die bis 2010 eigenständigen Gemeinden Kato Klines, Meliti und Perasma.	<arg1> Florina </arg1> <rel> Gemeindebezirke </rel> <arg2> 4 </arg2>
Anfang des 20. Jahrhunderts wurde eine Kirchgemeinde in Drawsko gegründet, der auch Drawski Młyn zugeordnet wurde.	<arg1> Drawski Młyn </arg1> <rel> Kirchgemeinde </rel> <arg2> Drawsko </arg2>
Der EUobserver gab sich das Motto „Making sense of the EU“, auf deutsch etwa „Sich die EU zusammenreimen“, aber auch im weiteren Sinn „Die EU mit Sinn erfüllen“.	<arg1> EUobserver </arg1> <rel> Motto </rel> <arg2> Making sense of the EU </arg2>
Lomitas’ Mutter La Colorada stammte aus der bedeutendsten Fährhofer Stutenlinie, der Familie der Love In.	<arg1> Lomitas </arg1> <rel> Mutter </rel> <arg2> La Colorada </arg2>
Trotz eines Novellists und eines Protectionists bezeichnete sein Trainer Andreas Wöhler Lomitas als das beste Pferd seiner Karriere.	<arg1> Lomitas </arg1> <rel> Trainer </rel> <arg2> Andreas Wöhler </arg2>
Die Heimstätte des Planitzer SC war die Westsachsenkampfbahn in Planitz, die später Alfred-Baumann-Kampfbahn hieß und heute Südkampfbahn heißt.	<arg1> Planitzer SC </arg1> <rel> Kampfbahn </rel> <arg2> Westsachsenkampfbahn </arg2>
Aktuell firmiert das Unternehmen als Radbourne Racing (Wimbledon) Limited unter Leitung von Honor Small, John Millett, Lincoln Small und Michael Small in Esher.	<arg1> Radbourne Racing </arg1> <rel> Leitung </rel> <arg2> Honor Small </arg2>
Aktuell firmiert das Unternehmen als Radbourne Racing (Wimbledon) Limited unter Leitung von Honor Small, John Millett, Lincoln Small und Michael Small in Esher.	<arg1> Radbourne Racing </arg1> <rel> Leitung </rel> <arg2> John Millett </arg2>
Aktuell firmiert das Unternehmen als Radbourne Racing (Wimbledon) Limited unter Leitung von Honor Small, John Millett, Lincoln Small und Michael Small in Esher.	<arg1> Radbourne Racing </arg1> <rel> Leitung </rel> <arg2> Lincoln Small </arg2>
Aktuell firmiert das Unternehmen als Radbourne Racing (Wimbledon) Limited unter Leitung von Honor Small, John Millett, Lincoln Small und Michael Small in Esher.	<arg1> Radbourne Racing </arg1> <rel> Leitung </rel> <arg2> Michael Small </arg2>
Kerava liegt rund 27 km nördlich der finnischen Hauptstadt Helsinki in der Landschaft Uusimaa.	<arg1> Kerava </arg1> <rel> Landschaft </rel> <arg2> Uusimaa </arg2>
Die Hypothekarbank Lenzburg ist im Kanton Aargau mit 13 Geschäftsstellen hauptsächlich im Bezirk Lenzburg sowie in den Bezirken Baden, Bremgarten, Aarau und Kulm vertreten.	<arg1> Hypothekarbank Lenzburg </arg1> <rel> Geschäftsstellen </rel> <arg2> 13 </arg2>
Heute gehört Śniepie katholischerseits zur Pfarrei Bajtkowo im Bistum Ełk der Römisch-katholischen Kirche in Polen.	<arg1> Śniepie </arg1> <rel> Pfarrei </rel> <arg2> Ełk </arg2>
Aufgrund von Protesten der lokalen Bevölkerung gegen die Verrichtung einer Autobahnmaut für die Nutzung der bedeutenden Brückenverbindung, wurde die ursprüngliche Maslenica-Brücke an alter Stelle und in nahezu derselben Form wie die einstige Brücke wiederaufgebaut (zweispurig).	<arg1> Maslenica-Brücke </arg1> <rel> Stelle </rel> <arg2> Maslenica </arg2>
Sie ist Kern der Metropolregion Curitiba, in der rund 3,6 Millionen Einwohner leben.	<arg1> Curitiba </arg1> <rel> Metropolregion </rel> <arg2> Metropolregion Curitiba </arg2>
Der Pearl River Tower hat 71 Etagen, die nahezu vollständig für Büros genutzt werden sollen.	<arg1> Pearl River Tower </arg1> <rel> Etagen </rel> <arg2> 71 </arg2>
Seit 2019 ist Regionalbischof Axel Piper Oberkirchenrat im Kirchenkreis Augsburg.	<arg1> Kirchenkreis Augsburg </arg1> <rel> Regionalbischof </rel> <arg2> Axel Piper </arg2>
Noch 1953 gab Marcel Rochas selbst die Couture-Sparte seines Unternehmens auf, um sich auf Parfüm zu konzentrieren.	<arg1> Rochas </arg1> <rel> Sparte </rel> <arg2> Parfüm </arg2>
Der Verein spielte drei Jahre in der Categoría Primera B. Atlético Juventud nahm an den Spielzeiten 2008, 2009 und 2010 teil.	<arg1> Atlético Juventud </arg1> <rel> Spielzeit </rel> <arg2> 2010 </arg2>
Beim Rollhockey zählen die Herren und Damen der ERG Iserlohn jeweils zu den besten Mannschaften in der Rollhockey-Bundesliga.	<arg1> ERG Iserlohn </arg1> <rel> Bund </rel> <arg2> Rollhockey-Bundesliga </arg2>
Die Hafenanlagen von Port de Sóller sind von der Platja den Repic gut zu einsehbar.	<arg1> Platja den Repic </arg1> <rel> Hafen </rel> <arg2> Port de Sóller </arg2>
Berterath ist ein Ortsteil der Gemeinde Büllingen in der Deutschsprachigen Gemeinschaft (DG) im äußersten Osten Belgiens.	<arg1> Berterath </arg1> <rel> Gemeinschaft </rel> <arg2> Büllingen </arg2>
Die Erstausstrahlung von Polizeiruf 110: Die Lüge, die wir Zukunft nennen am 8. Dezember 2019 wurde in Deutschland insgesamt von 5,03 Millionen Zuschauern gesehen und erreichte einen Marktanteil von 14,9 Prozent für Das Erste.	<arg1> Polizeiruf 110: Die Lüge, die wir Zukunft nennen </arg1> <rel> Erstausstrahlung </rel> <arg2> 8. Dezember 2019 </arg2>
In den nunmehr zurückliegenden rund 100 Jahren Pfalz-Ardenner-Zucht im Zuchtgebiet Rheinland-Pfalz-Saar orientierte sich die züchterische Arbeit klar am Zuchtziel und nutzte die Vorzüge der genannten Rassen, um zu einem Kaltblüter zu kommen, der gefragt und somit verkaufbar ist.	<arg1> Pfalz-Ardenner </arg1> <rel> Zuchtgebiet </rel> <arg2> Rheinland-Pfalz-Saar </arg2>
Die Orgel der Rysumer Kirche geht in ihrem Grundbestand auf die Zeit um 1440 oder 1457 zurück und verfügt über sieben Register auf einem Manual.	<arg1> Orgel der Rysumer Kirche </arg1> <rel> Register </rel> <arg2> 7 </arg2>
Wolf 1061 (auch bekannt als Gliese 628, HIP 80824 und V2306 Ophiuchi) ist ein Roter Zwerg der Spektralklasse M, der etwa 14 Lichtjahre von der Sonne entfernt ist und im Sternbild Schlangenträger liegt.	<arg1> Wolf 1061 </arg1> <rel> Sternbild </rel> <arg2> Oph </arg2>
Wolf 1061 (auch bekannt als Gliese 628, HIP 80824 und V2306 Ophiuchi) ist ein Roter Zwerg der Spektralklasse M, der etwa 14 Lichtjahre von der Sonne entfernt ist und im Sternbild Schlangenträger liegt.	<arg1> Wolf 1061 </arg1> <rel> in </rel> <arg2> 80824 </arg2>
Diese Lieder haben „ihren ganz eigenen Charakter“ und wurden zu dem Album Zwiespalt (Grau), das somit den Beginn einer Trilogie markieren soll, zusammengefasst.	<arg1> Zwiespalt (Grau) </arg1> <rel> Lied </rel> <arg2> Zwiespalt </arg2>
S/2004 S 25 besitzt einen Durchmesser von etwa 3 km.	<arg1> S/2004 S 25 </arg1> <rel> Durchmesser </rel> <arg2> 3 </arg2>
Seit Gründung des M.O.B.I.L.I.S. e.V. (5. März 2007) war dieser bis 2017/18 für Durchführung und Koordination des Programms zuständig.	<arg1> M.O.B.I.L.I.S. </arg1> <rel> Gründung </rel> <arg2> 5. März 2007 </arg2>
Die Besatzung eines Notfallkrankenwagen richtet sich jeweils nach den Landesrettungsdienstgesetzen und der jeweiligen Einsatzart (Krankentransport oder Notfallrettung).	<arg1> Notfallkrankenwagen </arg1> <rel> Einsatz </rel> <arg2> Krankentransport </arg2>
Die Urbeleskarspitze ist ein 2632 m hoher Gipfel in den Allgäuer Alpen.	<arg1> Urbeleskarspitze </arg1> <rel> Gipfel </rel> <arg2> 2632 </arg2>
Zhuyin Fuhao wurde während der ersten Nationalen Konferenz zur Vereinheitlichung der Aussprache 1913 als Umschrift der dort ebenfalls festgelegten „Nationalsprache“  beschlossen, die heute noch so auf Taiwan genannt wird und der volksrepublikanischen Standardsprache  in etwa entspricht.	<arg1> Zhuyin </arg1> <rel> festgelegt </rel> <arg2> Taiwan </arg2>
SES-7 (früher ProtoStar 2, Galaxy 8iR und Indostar 2, auch Cakrawarta 2) ist der Name eines Telekommunikationssatelliten des Satellitenbetreibers SES World Skies.	<arg1> SES-7 </arg1> <rel> betreiber </rel> <arg2> SES World Skies </arg2>
Die DeuKische Generation e. V. ist eine Interessenvertretung türkischstämmiger Jugendlicher in Berlin, deren Gründung 2007 von Jugendlichen selbst betrieben wurde, mit dem Ziel „binnen kürzester Zeit eine gesellschaftliche Institution zu etablieren, die primär die Integration von türkischstämmigen Bürgern in Berlin verbessert“.	<arg1> DeuKische Generation </arg1> <rel> Ziel </rel> <arg2> Integration von türkischstämmigen Bürgern </arg2>
Die DeuKische Generation e. V. ist eine Interessenvertretung türkischstämmiger Jugendlicher in Berlin, deren Gründung 2007 von Jugendlichen selbst betrieben wurde, mit dem Ziel „binnen kürzester Zeit eine gesellschaftliche Institution zu etablieren, die primär die Integration von türkischstämmigen Bürgern in Berlin verbessert“.	<arg1> DeuKische Generation </arg1> <rel> Gründung </rel> <arg2> 2007 </arg2>
Auf der Ebene Regiment/Bataillon kamen in aller Regel zwei Angehörige der Verwaltung 2000 (Dotierung Oberleutnant bis Hauptmann) zum Einsatz.	<arg1> Verwaltung 2000 </arg1> <rel> Regel </rel> <arg2> Verwaltung </arg2>
Cosgaya ist ein nordspanisches Dorf mit etwa 50 Einwohnern, das verwaltungsmäßig zur Gemeinde (municipio) Camaleño in der Comarca Liébana in der Autonomen Gemeinschaft Kantabrien gehört.	<arg1> Cosgaya </arg1> <rel> municipio </rel> <arg2> Camaleño </arg2>
Diese gute Platzierung konnte Foligno Calcio aber bis heute nicht wiederholen, man erreichte in den nächsten Jahren stets Platzierungen im unteren Bereich der Lega Pro Prima Divisione, konnte die Klasse aber stets halten.	<arg1> Foligno Calcio </arg1> <rel> Bereich </rel> <arg2> Foligno </arg2>
Die Eastern Isles sind eine unbewohnte Inselgruppe im Osten der Scilly-Inseln in Cornwall.	<arg1> Eastern Isles </arg1> <rel> Inselgruppe </rel> <arg2> Scilly-Inseln </arg2>
Weil Deutschland das Ursprungsland der Weimaraner ist, entwickelt der Zuchtverband im Verband für das Deutsche Hundewesen (VDH) auch den Rassestandard, der von der FCI veröffentlicht wird.	<arg1> Weimaraner </arg1> <rel> Ursprungsland </rel> <arg2> Deutschland </arg2>
Bereits vor der Eröffnung als Österreichpark nutzten die Berliner das Areal ausgiebig zur Erholung.	<arg1> Österreichpark </arg1> <rel> Areal </rel> <arg2> Berlin </arg2>
Zwar kann Born 2 Die „mit keiner wirklich neuen Idee überzeugen“, „für das größte Manko sorgen jedoch nicht die Darsteller, sondern die deutsche Synchronisation“, die mit Michael Roll eine „Softie-Stimme“ für DMX wählt, die dem Charakter nicht gerecht werden kann, sondern „beschämend und unfreiwillig komisch“ ist.	<arg1> Born 2 Die </arg1> <rel> Synchronisation </rel> <arg2> da </arg2>
Parakou ist mit etwa 260.000 Einwohnern die drittgrößte Stadt der Republik Benin und Hauptstadt des Departements Borgou.	<arg1> Parakou </arg1> <rel> Departement </rel> <arg2> Borgou </arg2>
Ungavait kristallisiert tetragonal in der Raumgruppe P41212, P4122, P43212, P42212 oder P4222 (Raumgruppen-Nr.	<arg1> Ungavait </arg1> <rel> Raumgruppe </rel> <arg2> Raumgruppe </arg2>
Der Temeswarer Dom (auch Dom zum Heiligen Georg, , ) ist eine römisch-katholische Kirche am Domplatz () im Zentrum des I. Bezirkes Cetate der westrumänischen Stadt Timișoara ().	<arg1> Temeswarer Dom </arg1> <rel> Kirche </rel> <arg2> römisch-katholische </arg2>
Martin Nikolow begann seine Karriere als Eishockeyspieler in seiner Geburtsstadt Sofia beim HK Slawia Sofia, mit dem er bulgarischer U16- und U18-Landesmeister wurde.	<arg1> Martin Nikolow </arg1> <rel> Geburtsstadt </rel> <arg2> Sofia </arg2>
Die Exzentrizität von (2047) Smetana ist mit abgerundet 0,0033 gering, so dass seine Bahn um die Sonne einer idealen Kreisbahn recht nahekommt.	<arg1> (2047) Smetana </arg1> <rel> Exzentrizität </rel> <arg2> 0,0033 </arg2>
Der Cadillac Eldorado Brougham war eine vom US-amerikanischen Automobilhersteller Cadillac viertürige Hardtop-Limousine der obersten Preiskategorie, die von 1957 bis 1960 in drei Versionen hergestellt wurde.	<arg1> Cadillac Eldorado Brougham </arg1> <rel> von </rel> <arg2> 1957 </arg2>
Der Cadillac Eldorado Brougham war eine vom US-amerikanischen Automobilhersteller Cadillac viertürige Hardtop-Limousine der obersten Preiskategorie, die von 1957 bis 1960 in drei Versionen hergestellt wurde.	<arg1> Cadillac Eldorado Brougham </arg1> <rel> bis </rel> <arg2> 1960 </arg2>
Der Cadillac Eldorado Brougham war eine vom US-amerikanischen Automobilhersteller Cadillac viertürige Hardtop-Limousine der obersten Preiskategorie, die von 1957 bis 1960 in drei Versionen hergestellt wurde.	<arg1> Cadillac Eldorado Brougham </arg1> <rel> Versionen </rel> <arg2> Limousine </arg2>
Die Richtlinien für die Anlage von Stadtstraßen (kurz RASt 06) sind ein in Deutschland gültiges technisches Regelwerk und wurden 2007 von der Forschungsgesellschaft für Straßen- und Verkehrswesen  in Köln herausgegeben.	<arg1> Richtlinien für die Anlage von Stadtstraßen </arg1> <rel> Verkehr </rel> <arg2> 200 </arg2>
Die Poxviridae (Pockenviren) sind eine Familie von Viren, die dem Phylum der Nucleocytoviricota (veraltet Nucleocytoplasmic large DNA viruses, NCLDV; frühere Vorschläge hatten auf „Nucleocytoplasmaviricota“ bzw. – im Rang einer Ordnung – „Megavirales“ gelautet) zugerechnet wird.	<arg1> Poxviridae </arg1> <rel> Phylum </rel> <arg2> Nucleocytoviricota </arg2>
Der Sofijiwka-Park wurde 1796 vom polnischen Magnaten Stanisław Potocki (1753–1805) angelegt und nach seiner Frau, Sophie Potocka, auch Sofija Witt-Potocka (1760–1822), benannt.	<arg1> Sofijiwka-Park </arg1> <rel> angelegt </rel> <arg2> 1796 </arg2>
Das Software Competence Center Hagenberg wurde im Juli 1999 im Rahmen des Kplus Kompetenzzentren-Programms, dem österreichischen Regierungsprogramm für Kooperation zwischen Industrie und Wissenschaft, von fünf Instituten der Technisch-Naturwissenschaftlichen Fakultät der Johannes Kepler Universität Linz (JKU) gegründet.	<arg1> Software Competence Center Hagenberg </arg1> <rel> Industrie </rel> <arg2> Wissenschaft </arg2>
Großeberharts ist eine Ortschaft (Schreibweise Groß-Eberharts) und eine Katastralgemeinde der Gemeinde Pfaffenschlag bei Waidhofen a.d.	<arg1> Großeberharts </arg1> <rel> Ortschaft </rel> <arg2> Groß-Eberharts </arg2>
In der Bundeswehr ist der Oberfähnrich ein Unteroffiziersdienstgrad, der gemäß der Zentralen Dienstvorschrift (ZDv) A-1420/24 „Dienstgrade und Dienstgradgruppen“ zur Dienstgradgruppe der Unteroffiziere mit Portepee zählt.	<arg1> Oberfähnrich </arg1> <rel> Dienstgradgruppe </rel> <arg2> Unteroffiziere mit Portepee </arg2>
Mitten im Bild stehen die Schriftzüge Eminem in weiß und etwas kleiner darunter The Real Slim Shady in orange.	<arg1> The Real Slim Shady </arg1> <rel> Schrift </rel> <arg2> Eminem </arg2>
Das Repertoire von L’Attentat erstreckte sich in der Anfangszeit von H.A.U. Songs wie Bürgerkrieg, bis zu neuen Versionen von Wutanfall-Klassikern (u. a. Leipzig in Trümmern).	<arg1> L’Attentat </arg1> <rel> Anfang </rel> <arg2> Leipzig </arg2>
Der im Oktober 1947 auf dem Pariser Autosalon der Öffentlichkeit vorgestellte Simca 6 erhielt im Mai 1948 seine amtliche Bauartzulassung.	<arg1> Simca 6 </arg1> <rel> Bauart </rel> <arg2> 6 </arg2>
Der Distrikt Udham Singh Nagar liegt in der Division Kumaon im Südosten von Uttarakhand.	<arg1> Udham Singh Nagar </arg1> <rel> Division </rel> <arg2> Kumaon </arg2>
Indiana Jones and the Fate of Atlantis ist ein Computerspiel aus dem Genre der Point-and-Click-Adventures, das von LucasArts entwickelt und erstmals 1992 veröffentlicht wurde.	<arg1> Indiana Jones and the Fate of Atlantis </arg1> <rel> Art </rel> <arg2> Adventure </arg2>
Makatit entwickelt nadelige bis prismatische, gestreifte Kristalle bis etwa einen Zentimeter Länge mit glasähnlichem Glanz auf den Oberflächen, die meist zu faserigen oder radialstrahligen bis sphärolithischen Mineral-Aggregaten verbunden sind.	<arg1> Makatit </arg1> <rel> Glanz </rel> <arg2> alle </arg2>
Der Nervenarzt ist eine Fachzeitschrift für die Bereiche Psychiatrie und Neurologie, die sich an niedergelassene und in der Klinik tätige Ärzte richtet.	<arg1> Der Nervenarzt </arg1> <rel> Fach </rel> <arg2> Psychiatrie </arg2>
Der Nervenarzt ist eine Fachzeitschrift für die Bereiche Psychiatrie und Neurologie, die sich an niedergelassene und in der Klinik tätige Ärzte richtet.	<arg1> Der Nervenarzt </arg1> <rel> Fach </rel> <arg2> Neurologie </arg2>
Sundsamband Íslands (kurz SSÍ; ; ) ist der nationale Dachverband des Schwimmsports in Island, dem rund 30 Schwimmvereine angeschlossen sind.	<arg1> Sundsamband Íslands </arg1> <rel> vereine </rel> <arg2> 30 </arg2>
Das Tesla Model Y ist ein batterieelektrisch angetriebener SUV-Crossover des US-amerikanischen Herstellers Tesla.	<arg1> Tesla Model Y </arg1> <rel> Model </rel> <arg2> Model Y </arg2>
Die Einführung in der NVA erfolgte ab 1988. Der KrAZ-260 ist mit einem Achtzylinderdieselmotor des Typs JaMZ-238L ausgestattet, der aus dem Hubraum von 14.866 cm3 eine Leistung von 300 PS (221 kW) schöpft.	<arg1> KrAZ-260 </arg1> <rel> Leistung </rel> <arg2> 221 </arg2>
Yozgatspor wurde am 23. Januar 1959 unter dem Namen Yozgat Karagümrük Spor Kulübü (kurz Yozgat Karagümrük), durch Verabschiedung der Satzung, seitens Präsident Nedim Korkmaz, Selahattin Ulusoy, Selahattin Allıoğlu, Murat Yunce, Rahmi Çokdeğerli, Doğan Üçok, Neşet Tanrıdağ, Şükrü Araman, Erdal Doğruyol, und Orhan Çıtak mit den Farben Schwarz & Rot gegründet.	<arg1> Yozgatspor </arg1> <rel> gegründet </rel> <arg2> 23. Januar 1959 </arg2>
Die Verfahrensordnung des Europäischen Gerichtshofs für Menschenrechte (VerfO) (Kurzbezeichnung Verfahrensordnung des Gericht), heißt in den Amtssprachen des Europäischen Gerichtshofs für Menschenrechte (EGMR) auf englisch: « Rules of Court » und auf französisch: « Règlement de la Cour ».	<arg1> Verfahrensordnung des Europäischen Gerichtshofs für Menschenrechte </arg1> <rel> Kurzbezeichnung </rel> <arg2> VerfO </arg2>
Das Ambrosianum Tübingen ist das theologisch-propädeutische Seminar der Diözese Rottenburg-Stuttgart.	<arg1> Ambrosianum Tübingen </arg1> <rel> Diözese </rel> <arg2> Diözese Rottenburg-Stuttgart </arg2>
Im  stellte Microsoft Version 7 des Betriebssystems Windows Embedded Automotive vor, dass auf Microsoft Auto 4.1 und Windows Automotive 5.5 basierte.	<arg1> Windows Embedded Automotive </arg1> <rel> Version </rel> <arg2> 7 </arg2>
Länsisatama (Finnisch) bzw. Västra hamnen (Schwedisch), zu deutsch „Westhafen“, ist sowohl ein Hafen als auch ein Stadtteil in der finnischen Hauptstadt Helsinki.	<arg1> Länsisatama </arg1> <rel> Schwedisch </rel> <arg2> Västra hamnen </arg2>
Ab Juni 2018 war Jens Schröder Chefredakteur von National Geographic Deutschland und dem P.M. Magazin.	<arg1> P.M. Magazin </arg1> <rel> Nation </rel> <arg2> Deutschland </arg2>
Die Epupafälle (), in Angola auch Monte-Negro-Fälle, befinden sich im Verlauf des Kunene, des Grenzflusses zwischen Namibia (Region Kunene) und Angola (Provinz Namibe).	<arg1> Epupafälle </arg1> <rel> Region </rel> <arg2> Epupa </arg2>
Die Epupafälle (), in Angola auch Monte-Negro-Fälle, befinden sich im Verlauf des Kunene, des Grenzflusses zwischen Namibia (Region Kunene) und Angola (Provinz Namibe).	<arg1> Epupafälle </arg1> <rel> zfluss </rel> <arg2> Kunene </arg2>
Die Komturei Heimbach, seltener auch Komturei Haimbach geschrieben, ursprünglicher Name „Komturei des Ritterlichern Ordens vom Hospital des Heiligen Johannes zu Jerusalem“, bei der Ortsgemeinde Zeiskam in der Südpfalz (Rheinland-Pfalz) war eine mittelalterliche Anlage, die aus einem befestigten Klosterhof mit Kirche bestand.	<arg1> Komturei Heimbach </arg1> <rel> Name </rel> <arg2> Komturei des Ritterlichern Ordens vom Hospital des Heiligen Johannes zu Jerusalem </arg2>
Die Komturei Heimbach, seltener auch Komturei Haimbach geschrieben, ursprünglicher Name „Komturei des Ritterlichern Ordens vom Hospital des Heiligen Johannes zu Jerusalem“, bei der Ortsgemeinde Zeiskam in der Südpfalz (Rheinland-Pfalz) war eine mittelalterliche Anlage, die aus einem befestigten Klosterhof mit Kirche bestand.	<arg1> Komturei Heimbach </arg1> <rel> Ort </rel> <arg2> Zeiskam </arg2>
Der Altnauer Steg steht dazu in einem rechten Winkel, zeigt somit also nach Nordost.	<arg1> Altnauer Steg </arg1> <rel> Winkel </rel> <arg2> Altnau </arg2>
Bombali umfasst eine Fläche von 7.985 km² und ist in 13 Chiefdoms (Häuptlingstümer) unterteilt.	<arg1> Bombali </arg1> <rel> Chiefdom </rel> <arg2> 13 </arg2>
The Detail ist eine kanadische Krimi-Fernsehserie des Fernsehsenders CTV, welche die britische Fernsehserie Scott & Bailey als Vorlage benutzt hat.	<arg1> The Detail </arg1> <rel> Fernsehsender </rel> <arg2> CTV </arg2>
Die Königswarter Daguerreotypie (tschechisch Kynžvartská daguerrotypie) ist eine der frühen Daguerreotypien des Erfinders dieses fotografischen Verfahrens, die er persönlich Fürst Metternich schenkte.	<arg1> Königswarter Daguerreotypie </arg1> <rel> Verfahren </rel> <arg2> Daguerreotypie </arg2>
Die Wolnzacher Anzeiger E. Kastner KG mit ihren Unternehmensbereichen Kastner AG (Druckhaus Kastner, Verlagshaus Kastner, Internethaus Kastner, Software Factory) und die Wolnzacher Anzeiger Medien GmbH bilden die Unternehmensgrundlage des Wolnzacher Anzeigers.	<arg1> Wolnzacher Anzeiger </arg1> <rel> Verlagshaus </rel> <arg2> Wolnzacher Anzeiger E. Kastner KG </arg2>
Der Cosigüina auch Cosegüina ist ein Schichtvulkan im Westteil von Nicaragua.	<arg1> Cosigüina </arg1> <rel> Schicht </rel> <arg2> Nicaragua </arg2>
 Das Güferhorn ist zusammen mit Zervreilahorn und Furggeltihorn auf der Etikette des Valserwassers abgebildet (siehe Bild in der Infobox).	<arg1> Güferhorn </arg1> <rel> Bild </rel> <arg2> Furggeltihorn </arg2>
Die Gesellschafter der SLK-Kliniken Heilbronn GmbH sind die Regionale Gesundheitsholding Heilbronn Franken, die Stadt Heilbronn und der Landkreis Heilbronn.	<arg1> SLK-Kliniken </arg1> <rel> Gesellschafter </rel> <arg2> Stadt Heilbronn </arg2>
Die Gesellschafter der SLK-Kliniken Heilbronn GmbH sind die Regionale Gesundheitsholding Heilbronn Franken, die Stadt Heilbronn und der Landkreis Heilbronn.	<arg1> SLK-Kliniken </arg1> <rel> Gesellschafter </rel> <arg2> Landkreis Heilbronn </arg2>
Zwischen 27. Jänner und 19. April blieb die B 64 im Bereich der Weizklamm gesperrt, was im Raum Passail 15.000 Menschen zu spüren bekamen.	<arg1> Weizklamm </arg1> <rel> Mensch </rel> <arg2> klamm </arg2>
Das London Aquatics Centre ist eine von der Architektin Zaha Hadid entworfene Wassersportarena im Londoner Stadtteil Stratford (London Borough of Newham) im südlichen Teil des Queen Elizabeth Olympic Park.	<arg1> London Aquatics Centre </arg1> <rel> Architekt </rel> <arg2> Zaha Hadid </arg2>
Die Hirschhorner Höhe ist ein Höhenzug im hessischen Odenwald, der sich im Gebiet von Beerfelden und Rothenberg im Odenwaldkreis sowie Hirschhorn (Neckar) im Kreis Bergstraße befindet.	<arg1> Hirschhorner Höhe </arg1> <rel> Höhenzug </rel> <arg2> Odenwald </arg2>
Die Brost-Stiftung hat einen operativ tätigen dreiköpfigen Vorstand, der sich sowohl um die strategische Ausrichtung der Stiftungsarbeit kümmert als auch über die Bewilligung von Förderanträgen entscheidet.	<arg1> Brost-Stiftung </arg1> <rel> Ausrichtung </rel> <arg2> Stiftung </arg2>
Azelfafage hat eine scheinbare Helligkeit von +4,64 mag und gehört der Spektralklasse B3 IV an.	<arg1> Azelfafage </arg1> <rel> Spektralklasse </rel> <arg2> B3 IV </arg2>
